Genus,species,individual_ID,hemitrichia_side,treatment,CSA ,Imax 
Satanoperca,daemon,Pelagic_1,dorsal,Pelagic,151.2241379,1082.915
Satanoperca,daemon,Pelagic_1,ventral,Pelagic,121.8448276,689.5421983
Satanoperca,daemon,Pelagic_2,dorsal,Pelagic,143.010101,1298.114919
Satanoperca,daemon,Pelagic_2,ventral,Pelagic,121.1764706,863.3803725
Satanoperca,daemon,Pelagic_4,dorsal,Pelagic,192.7333333,1851.711695
Satanoperca,daemon,Pelagic_4,ventral,Pelagic,184.5714286,1719.36859
Satanoperca,daemon,Pelagic_5,dorsal,Pelagic,144.5,1204.585511
Satanoperca,daemon,Pelagic_5,ventral,Pelagic,123,637.619
Satanoperca,daemon,Pelagic_6,dorsal,Pelagic,183.0465116,1748.259287
Satanoperca,daemon,Pelagic_6,ventral,Pelagic,153.4418605,1209.90593
Satanoperca,daemon,Pelagic_8,dorsal,Pelagic,165.11,1535.87677
Satanoperca,daemon,Pelagic_8,ventral,Pelagic,133.74,806.447
Satanoperca,daemon,Pelagic_9,dorsal,Pelagic,129.5566038,875.3087075
Satanoperca,daemon,Pelagic_9,ventral,Pelagic,115.3867925,564.6166226
Satanoperca,daemon,Pelagic_10,dorsal,Pelagic,102.1327434,543.4463274
Satanoperca,daemon,Pelagic_10,ventral,Pelagic,81.74336283,284.997292
Satanoperca,daemon,Pelagic_11,dorsal,Pelagic,143.1698113,1025.304981
Satanoperca,daemon,Pelagic_11,ventral,Pelagic,132.4811321,872.2005943
Satanoperca,daemon,Pelagic_13,dorsal,Pelagic,129.8613861,923.2559604
Satanoperca,daemon,Pelagic_13,ventral,Pelagic,105.5742574,484.1292871
Satanoperca,daemon,Rock_1,dorsal,Rock,134.8508772,857.9521053
Satanoperca,jurupari,Rock_1_J,dorsal,Rock,205.5849057,2692.830962
Satanoperca,daemon,Rock_1,ventral,Rock,115.1504425,609.1732124
Satanoperca,jurupari,Rock_1_J,ventral,Rock,174.1698113,1697.294802
Satanoperca,daemon,Rock_2,dorsal,Rock,134.7281553,1187.160223
Satanoperca,daemon,Rock_2,ventral,Rock,123.776699,835.4553107
Satanoperca,daemon,Rock_3,dorsal,Rock,169.2016807,1667.280042
Satanoperca,daemon,Rock_3,ventral,Rock,147.3529412,1027.938378
Satanoperca,daemon,Rock_4,dorsal,Rock,159.9242424,1362.698152
Satanoperca,daemon,Rock_4,ventral,Rock,144.5245902,1066.561713
Satanoperca,daemon,Rock_6,dorsal,Rock,254.7818182,3415.3262
Satanoperca,daemon,Rock_6,ventral,Rock,229.1166667,2801.25585
Satanoperca,daemon,Rock_7,dorsal,Rock,147.3333333,1096.080721
Satanoperca,daemon,Rock_7,ventral,Rock,125.7747748,803.2068108
Satanoperca,daemon,Rock_9,dorsal,Rock,123.8141593,979.6423451
Satanoperca,daemon,Rock_9,ventral,Rock,93.9380531,465.3280265
Satanoperca,daemon,Rock_12,dorsal,Rock,178.2592593,1572.82425
Satanoperca,daemon,Rock_12,ventral,Rock,176.7962963,1755.447907
Satanoperca,daemon,Sand_3,dorsal,Sand,133.8372093,966.652907
Satanoperca,daemon,Sand_3,ventral,Sand,125.5465116,972.6135814
Satanoperca,daemon,Sand 4,dorsal,Sand,171.43,1551.28384
Satanoperca,daemon,Sand 4,ventral,Sand,154.4141414,1191.166424
Satanoperca,daemon,Sand_9,dorsal,Sand,145.27,1161.27935
Satanoperca,daemon,Sand_9,ventral,Sand,126.39,781.15589
Satanoperca,daemon,Sand_11,dorsal,Sand,130.6666667,1009.934237
Satanoperca,daemon,Sand_11,ventral,Sand,119.5483871,753.2173118
Satanoperca,daemon,Sand_13,dorsal,Sand,172.1443299,1614.135588
Satanoperca,daemon,Sand_13,ventral,Sand,142.5670103,922.1860722
Satanoperca,daemon,Sand_15,dorsal,Sand,127.2058824,848.3795686
Satanoperca,daemon,Sand_15,ventral,Sand,114.5882353,706.4227451
Satanoperca,daemon,Sand_16,dorsal,Sand,140.9230769,1199.473058
Satanoperca,daemon,Sand_16,ventral,Sand,119.3461538,733.1615385
Satanoperca,daemon,Sand_17,dorsal,Sand,132.4591837,1006.415786
Satanoperca,daemon,Sand_17,ventral,Sand,116.9489796,703.483102
Satanoperca,daemon,Sand_18,dorsal,Sand,106.4102564,537.5850513
Satanoperca,daemon,Sand_18,ventral,Sand,100.3913043,509.6260087
