ID,Side,Treatment,CSA ,X cent,Y cent,Density,wX cent,wY cent,Theta,R1 ,R2 ,Imin ,Imax ,Ipm ,Zmin ,Zmax ,Zpol ,Feret Min ,Feret Max ,Feret Angle,Perimeter ,Max Thick 2D ,Mean Thick 2D ,SD Thick 2D 
MASK_Pelagic1_Left,Left,Pelagic,151.2241379,31.058,15.288,1.8,31.058,15.288,-1.317,5.47,9.764,3680.281,1082.915,21.71,376.933,197.987,440.575,11.884,20.248,1.218,55.941,8,7.135,1.15
MASK_Pelagic1_Right,Right,Pelagic,121.8448276,20.87476724,12.98483621,1.8,20.87476724,12.98483621,-1.244836207,5.159112069,9.517836207,3375.197733,689.5421983,18.15680172,354.625569,133.1081638,403.0274397,10.68317241,19.92894828,1.186810345,53.81453448,7.060922414,6.236008621,1.030474138
MASK_Pelagic2_Left,Left,Pelagic,143.010101,14.90386869,15.64131313,1.8,14.90386869,15.64131313,0.146515152,6.73320202,10.40149495,5160.428778,1298.114919,23.79643434,496.1377172,193.4942727,538.2417576,12.75548485,21.77806061,1.659939394,64.91846465,6.98120202,5.923535354,1.153010101
MASK_Pelagic2_Right,Right,Pelagic,121.1764706,15.30888235,14.00660784,1.8,15.30888235,14.00660784,-1.276862745,6.037558824,9.443990196,3925.960755,863.3803725,20.11918627,415.3981176,142.9203333,441.2463824,11.47988235,20.1840098,1.337029412,58.9624902,6.347431373,5.500990196,0.990656863
MASK_Pelagic_4_R3_s1-3,Left,Pelagic,192.7333333,16.70855238,13.97245714,1.8,16.70855238,13.97245714,0.824285714,6.675219048,11.94754286,8731.904086,1851.711695,17.3213619,730.2185238,277.5702857,815.6442857,13.65505714,24.9036,2.263133333,69.0131619,8.553314286,7.416428571,1.388780952
MASK_Pelagic_4_R3_s1-3,Right,Pelagic,184.5714286,20.5658381,10.04341905,1.8,20.56581905,10.04341905,0.925133333,6.480847619,11.43313333,7878.127971,1719.36859,19.62310476,687.1440667,265.1423619,784.4756857,13.60160952,23.96910476,2.148885714,66.99449524,8.032047619,7.256590476,1.038361905
MASK_Pelagic_5_R3_s1-3,Left,Pelagic,144.5,10.22557447,13.03382979,1.8,10.22557447,13.03382979,-0.333276596,6.019882979,10.74689362,5220.318181,1204.585511,2.645585106,485.2074468,200.0650745,559.9727979,12.78185106,22.30739362,0.327882979,62.09471277,7.07856383,6.169851064,0.965957447
MASK_Pelagic_5_R3_s1-3,Right,Pelagic,123,10.634,6.488,1.8,10.634,6.488,-0.284,4.806,9.672,3810.15,637.619,1.607,393.928,132.677,444.547,10.049,20.616,0.399,53.113,6.325,6.033,0.575
MASK_Pelagic_6_R3_s1-3,Left,Pelagic,-183.0465116,-18.92396124,-22.1764031,-1.8,-18.92395349,-22.1764031,0.472651163,-6.601953488,-12.10658915,-8003.560465,-1748.259287,-6.362116279,-660.645876,-262.9041473,-742.5668992,-13.85544186,-24.84693023,-0.399193798,-67.77841085,-8.054589147,-7.142077519,-1.28272093
MASK_Pelagic_6_R3_s1-3,Right,Pelagic,153.4418605,15.05955039,18.29979845,1.8,15.05955039,18.29975969,-0.580294574,5.902302326,10.88187597,5524.623643,1209.90593,7.717302326,507.463876,204.955876,573.751031,12.35654264,22.65013953,0.544271318,61.94313953,7.633209302,6.656046512,1.234550388
