"Variable","Group1","Group2","Observed_t","P_value_two_sided","P_value_BH"
"Radial_1_Length","Rock","Pelagic",2.51435018620537,0.0234,0.0702
"Radial_1_Length","Rock","Sand",1.8841022289835,0.0796,0.1055
"Radial_1_Length","Sand","Pelagic",1.69376851466734,0.1055,0.1055
"Radial_2_Length","Rock","Pelagic",1.56829119693738,0.1308,0.3278
"Radial_2_Length","Rock","Sand",1.02985677370674,0.324,0.3278
"Radial_2_Length","Sand","Pelagic",1.00268436737996,0.3278,0.3278
"Radial_3_Length","Rock","Pelagic",0.812356870999687,0.4427,0.66405
"Radial_3_Length","Rock","Sand",0.047713369468502,0.9618,0.9618
"Radial_3_Length","Sand","Pelagic",1.54470544785885,0.1392,0.4176
"Radial_4_Length","Rock","Pelagic",0.809772570789829,0.4304,0.6456
"Radial_4_Length","Rock","Sand",-0.000660262760164876,0.9995,0.9995
"Radial_4_Length","Sand","Pelagic",1.58959339920322,0.1272,0.3816
"Radial_1_Width","Rock","Pelagic",0.995974224672994,0.3514,0.5271
"Radial_1_Width","Rock","Sand",0.281575203654833,0.7809,0.7809
"Radial_1_Width","Sand","Pelagic",1.02760608028616,0.3271,0.5271
"Radial_2_Width","Rock","Pelagic",0.994712499666657,0.3339,0.6026
"Radial_2_Width","Rock","Sand",0.549016941820157,0.6026,0.6026
"Radial_2_Width","Sand","Pelagic",0.646809564587535,0.5289,0.6026
"Radial_3_Width","Rock","Pelagic",-0.269640474083293,0.79,0.9761
"Radial_3_Width","Rock","Sand",-0.0333876847096811,0.9761,0.9761
"Radial_3_Width","Sand","Pelagic",-0.370614204139459,0.7047,0.9761
"Radial_4_Width","Rock","Pelagic",0.740760012979771,0.4652,0.6978
"Radial_4_Width","Rock","Sand",-0.217091938248032,0.8337,0.8337
"Radial_4_Width","Sand","Pelagic",1.29803708025685,0.2127,0.6381
"Marginal_Ray_3_Measurement_1","Rock","Pelagic",-0.609452876833594,0.5473,0.82095
"Marginal_Ray_3_Measurement_1","Rock","Sand",-0.676301329001011,0.5019,0.82095
"Marginal_Ray_3_Measurement_1","Sand","Pelagic",0.0731985288665791,0.9421,0.9421
"Marginal_Ray_3_Measurement_2","Rock","Pelagic",-0.516309601191568,0.6063,0.90945
"Marginal_Ray_3_Measurement_2","Rock","Sand",-0.585973882395476,0.5627,0.90945
"Marginal_Ray_3_Measurement_2","Sand","Pelagic",0.072592219207149,0.9448,0.9448
"Marginal_Ray_3_Measurement_3","Rock","Pelagic",-0.498251077836204,0.6265,0.8553
"Marginal_Ray_3_Measurement_3","Rock","Sand",-0.669183094139045,0.506,0.8553
"Marginal_Ray_3_Measurement_3","Sand","Pelagic",0.183998165154913,0.8553,0.8553
"Marginal_Ray_3_Measurement_4","Rock","Pelagic",-0.428085558476575,0.6692,0.785
"Marginal_Ray_3_Measurement_4","Rock","Sand",-0.694681503267654,0.4924,0.785
"Marginal_Ray_3_Measurement_4","Sand","Pelagic",0.279251359030406,0.785,0.785
"Marginal_Ray_4_Measurement_1","Rock","Pelagic",-0.86447310249988,0.4047,0.4047
"Marginal_Ray_4_Measurement_1","Rock","Sand",-1.48516896624493,0.1593,0.4047
"Marginal_Ray_4_Measurement_1","Sand","Pelagic",0.942113205603444,0.3621,0.4047
"Marginal_Ray_4_Measurement_2","Rock","Pelagic",-0.788325760626615,0.4399,0.4399
"Marginal_Ray_4_Measurement_2","Rock","Sand",-1.58341987742937,0.1345,0.4035
"Marginal_Ray_4_Measurement_2","Sand","Pelagic",1.11099724910015,0.283,0.4245
"Marginal_Ray_4_Measurement_3","Rock","Pelagic",-0.779176825854403,0.4448,0.4448
"Marginal_Ray_4_Measurement_3","Rock","Sand",-1.65257071436722,0.1255,0.3531
"Marginal_Ray_4_Measurement_3","Sand","Pelagic",1.19747035151281,0.2354,0.3531
"Marginal_Ray_4_Measurement_4","Rock","Pelagic",-0.773674602314514,0.4422,0.4422
"Marginal_Ray_4_Measurement_4","Rock","Sand",-1.6938920201373,0.112,0.336
"Marginal_Ray_4_Measurement_4","Sand","Pelagic",1.20699056677343,0.2412,0.3618
"Marginal_Ray_5_Measurement_1","Rock","Pelagic",-0.874963157569036,0.388,0.388
"Marginal_Ray_5_Measurement_1","Rock","Sand",-1.57847238526685,0.1415,0.388
"Marginal_Ray_5_Measurement_1","Sand","Pelagic",1.06156091343159,0.3009,0.388
"Marginal_Ray_5_Measurement_2","Rock","Pelagic",-0.799434954939422,0.4285,0.4285
"Marginal_Ray_5_Measurement_2","Rock","Sand",-1.6754091315779,0.1204,0.3381
"Marginal_Ray_5_Measurement_2","Sand","Pelagic",1.25513482345842,0.2254,0.3381
"Marginal_Ray_5_Measurement_3","Rock","Pelagic",-0.819018531564407,0.4104,0.4104
"Marginal_Ray_5_Measurement_3","Rock","Sand",-1.81962026518747,0.0851,0.24375
"Marginal_Ray_5_Measurement_3","Sand","Pelagic",1.45875564569388,0.1625,0.24375
"Marginal_Ray_5_Measurement_4","Rock","Pelagic",-0.773091116687502,0.4436,0.4436
"Marginal_Ray_5_Measurement_4","Rock","Sand",-1.91342298472191,0.0739,0.2133
"Marginal_Ray_5_Measurement_4","Sand","Pelagic",1.52801704902345,0.1422,0.2133
