,,,Permutation Test,,,Welch's t-test,,,
Variable,Group1,Group2,Observed_t,P_value_two_sided,P_value_BH,Welch_t,df,P_value_two_sided,P_value_BH
Radial_1_Length,Rock,Pelagic,2.514350186,0.0234,0.0702,2.514350186,8.809798519,0.033596052,0.100788156
Radial_1_Length,Rock,Sand,1.884102229,0.0796,0.1055,1.884102229,7.826946969,0.097110178,0.10895663
Radial_1_Length,Sand,Pelagic,1.693768515,0.1055,0.1055,1.693768515,16.62757441,0.10895663,0.10895663
Radial_2_Length,Rock,Pelagic,1.568291197,0.1308,0.3278,1.568291197,9.720088211,0.148760242,0.3289052
Radial_2_Length,Rock,Sand,1.029856774,0.324,0.3278,1.029856774,9.37817482,0.3289052,0.3289052
Radial_2_Length,Sand,Pelagic,1.002684367,0.3278,0.3278,1.002684367,22.0346167,0.326897936,0.3289052
Radial_3_Length,Rock,Pelagic,0.812356871,0.4427,0.66405,0.812356871,9.017783871,0.437505649,0.656258474
Radial_3_Length,Rock,Sand,0.047713369,0.9618,0.9618,0.047713369,8.959924512,0.962991275,0.962991275
Radial_3_Length,Sand,Pelagic,1.544705448,0.1392,0.4176,1.544705448,22.47172801,0.136384806,0.409154417
Radial_4_Length,Rock,Pelagic,0.809772571,0.4304,0.6456,0.809772571,9.334568984,0.438225573,0.65733836
Radial_4_Length,Rock,Sand,-0.000660263,0.9995,0.9995,-0.000660263,8.961654349,0.999487651,0.999487651
Radial_4_Length,Sand,Pelagic,1.589593399,0.1272,0.3816,1.589593399,21.8738447,0.126276954,0.378830861
Radial_1_Width,Rock,Pelagic,0.995974225,0.3514,0.5271,0.995974225,10.60625884,0.341442348,0.512163521
Radial_1_Width,Rock,Sand,0.281575204,0.7809,0.7809,0.281575204,11.7497583,0.783166799,0.783166799
Radial_1_Width,Sand,Pelagic,1.02760608,0.3271,0.5271,1.02760608,21.90567932,0.315349124,0.512163521
Radial_2_Width,Rock,Pelagic,0.9947125,0.3339,0.6026,0.9947125,15.13925299,0.335509919,0.593150505
Radial_2_Width,Rock,Sand,0.549016942,0.6026,0.6026,0.549016942,11.89489148,0.593150505,0.593150505
Radial_2_Width,Sand,Pelagic,0.646809565,0.5289,0.6026,0.646809565,18.6648493,0.525630264,0.593150505
Radial_3_Width,Rock,Pelagic,-0.269640474,0.79,0.9761,-0.269640474,11.38137934,0.79226313,0.974010732
Radial_3_Width,Rock,Sand,-0.033387685,0.9761,0.9761,-0.033387685,10.18451108,0.974010732,0.974010732
Radial_3_Width,Sand,Pelagic,-0.370614204,0.7047,0.9761,-0.370614204,20.93934246,0.714647672,0.974010732
Radial_4_Width,Rock,Pelagic,0.740760013,0.4652,0.6978,0.740760013,13.02907148,0.471978814,0.707968221
Radial_4_Width,Rock,Sand,-0.217091938,0.8337,0.8337,-0.217091938,11.48951746,0.831943727,0.831943727
Radial_4_Width,Sand,Pelagic,1.29803708,0.2127,0.6381,1.29803708,20.81864602,0.208471977,0.625415932
