Left,,,,,% Missing,,,LEFT,,,,,,,,RIGHT,,,,,,,,LEFT,,,,,,,,RIGHT,,,,,,
Ray,,Present,Absent,Total,,,,WILD 3,,O,Total,"X^2, E, A",,"X2, Absent",,WILD 3,,O,Total,"X^2, E, A",,"X2, Absent",,Ray 3,,,Total,"X^2, E, A",,"X2, Absent",,Ray 3,,,Total,"X^2, E, A",,"X2, Absent"
3,R,3,6,9,0.666666667,,,R,3,6,9,3.913043478,,1.113,,R,4,5,9,6.428571429,,0.3175,,R,3,6,9,3.15,,2.578571429,,R,4,5,9,3.428571429,,0.7202
3,S,10,4,14,0.285714286,,,M,10,4,14,6.086956522,,0.7155,,M,9,5,14,6.086956522,,0.1941,,P,10,1,11,3.85,,2.10974026,,P,9,3,12,4.571428571,,0.5402
3,P,10,1,11,0.090909091,,,,,,23,,,1.8285,,,,,23,,,0.5116,,,13,7,20,,df =1 ,4.688311688,,,13,8,21,,df =1 ,1.2604
3,M,8,0,8,0,,,,,,,,P,0.176305,,,,,,,,0.474447,,,,,,,Crit=3.841,P = 0.030369,,,,,,,crit = 3.841,P=0.261575
,,Present,,Total,,,,P,10,1,11,2.2,,0.6545,,P,9,3,12,3.692307692,,0.1298,,R,3,6,9,3.913043478,,1.113,,R,4,5,9,3.681818182,,0.4719
4,R,6,3,9,0.333333333,,,M,10,4,14,2.8,,0.5143,,M,9,5,14,4.307692308,,0.1113,,S,10,4,14,6.086956522,,0.7155,,S,9,4,13,5.318181818,,0.3267
4,S,13,1,14,0.071428571,,,,,,25,,,1.1688,,,,,,,,0.2411,,,13,10,23,,,1.8285,,,13,9,22,,,0.7986
4,P,11,0,11,0,,,,,,,,,0.279647,,,,,,,,0.623413,,,,,,,,P=0.176305,,,,,,,,p=0.371512
4,M,8,0,8,0,,,S,10,4,14,2,,2,,S,9,4,13,4.333333333,,0.0256,,S,10,4,14,2.8,,0.5143,,S,9,4,13,3.64,,0.0356
,,Present,,Total,,,,M,10,4,14,2,,2,,M,9,5,14,4.666666667,,0.0238,,P,10,1,11,2.2,,0.6545,,P,9,3,12,3.36,,0.0386
5,R,7,2,9,0.222222222,,,,,,28,,,4,,,,,27,,,0.0494,,,20,5,25,,,,,,18,7,25,,,0.0742
5,S,14,0,14,0,,,,,,,,,0.0455,,,,,,,,0.824111,,,,,,,,P=0.279647,,,,,,,,p=0.785317
5,P,11,0,11,0,,,WILD 4,,,Total,,,,,WILD 4,,,Total,,,,,Ray 4,,,Total,"X^2, E, A",,"X2, Absent",,Ray 4,,,Total,"X^2, E, A",,"X2, Absent"
5,M,8,0,8,0,,,R,6,3,9,2.739130435,,0.0248,,R,6,3,9,2.739130435,,0.0248,,R,6,3,9,1.35,,2.0167,,R,6,3,9,2.571428571,,0.0714
Right,,,,,,,,M,10,4,14,4.260869565,,0.016,,M,10,4,14,4.260869565,,0.016,,P,11,0,11,1.65,,1.65,,P,9,3,12,3.428571429,,0.0536
Ray,,Present,Absent,Total,,,,,,,23,,,0.0408,,,,,23,,,0.0408,,,17,3,20,,,3.6667,,,15,6,21,,,0.125
3,R,4,5,9,0.555555556,,,,,,,,,0.839924,,,,,,,,0.839924,,,,,,,,P=0.05551,,,,,,,,p=0.723674
3,S,9,4,13,0.307692308,,,P,11,0,11,1.76,,1.76,,P,9,3,12,3.230769231,,0.0165,,R,6,3,9,1.565217391,,1.3162,,R,6,3,9,1.714285714,,0.9643
3,P,9,3,12,0.25,,,M,10,4,14,2.24,,1.3829,,M,10,4,14,3.769230769,,0.0141,,S,13,1,14,2.434782609,,0.8455,,S,12,1,13,2.363636364,,0.7232
3,M,7,1,8,0.125,,,,,,25,,,3.1429,,,,,26,,,0.0306,,,19,4,23,,,2.1607,,,18,4,22,,,1.6875
,,Present,,Total,,,,,,,,,,0.076258,,,,,,,,0.861136,,,,,,,,P=0.14158,,,,,,,,p=0.193931
4,R,6,3,9,0.333333333,,,S,13,1,14,2.5,,0.9,,S,12,1,13,2.407407407,,0.8228,,S,13,1,14,0.56,,0.3457,,S,12,1,12,2,,0.5
4,S,12,1,12,0.083333333,,,M,10,4,14,2.5,,0.9,,M,10,4,14,2.592592593,,0.764,,P,11,0,11,0.44,,0.44,,P,9,3,12,2,,0.5
4,P,9,3,12,0.25,,,,,,28,,,1.8,,,,,27,,,1.5868,,,,,,,,0.7857,,,21,4,24,,,1
4,M,8,0,8,0,,,,,,,,,0.179713,,,,,,,,0.207784,,,,,,,,P=0.375403,,,,,,,,p=0.31791
,,Present,,Total,,,,WILD 5,,,Total,,,,,WILD 5,,,Total,,,,,Ray 5,,,Total,"X^2, E, A",,"X2, Absent",,Ray 5,,,Total,"X^2, E, A",,"X2, Absent"
5,R,9,0,9,0,,,R,7,2,9,1.565217391,,0.1208,,R,9,0,9,0.782608696,,0.7826,,R,7,2,9,0.9,,1.3444,,R,9,0,9,0,,x
5,S,13,0,13,0,,,M,12,2,14,2.434782609,,0.0776,,M,12,2,14,1.217391304,,0.5031,,P,11,0,11,1.1,,1.1,,P,12,0,12,0,,x
5,P,12,0,12,0,,,,,,23,,,0.1984,,,,,,,,1.2857,,,,,,,,2.4444,,,21,0,21,,,x
5,M,8,0,8,0,,,,,,,,,0.656015,,,,,,,,0.256841,,,,,,,,P=0.117645,,,,,,,,p=1
,,,,,,,,P,11,0,11,0.88,,0.88,,P,12,0,12,0.923076923,,0.9231,,R,7,2,9,0.782608696,,1.8937,,R,9,0,9,0,,x
,,,,,,,,M,12,2,14,1.12,,0.6914,,M,12,2,14,1.076923077,,0.7912,,S,14,0,14,1.217391304,,1.2174,,S,13,0,13,0,,x
,,,,,,,,,,,25,,,1.5714,,,,,,,,1.7143,,,,,,,,3.1111,,,22,0,22,,,x
,,,,,,,,,,,,,,0.210004,,,,,,,,0.190428,,,,,,,,P=0.07776,,,,,,,,p=1
,,,,,,,,S,14,0,14,1,,1,,S,13,0,13,0.962962963,,0.963,,S,14,0,14,0,,X,,S,13,0,13,0,,x
,,,,,,,,M,12,2,14,1,,1,,M,12,2,14,1.037037037,,0.8942,,P,11,0,11,0,,X,,P,12,0,12,0,,x
,,,,,,,,,,,28,,,2,,,,,,,,1.8572,,,,,,,,X,,,25,0,25,,,x
,,,,,,,,,,,,,,0.157299,,,,,,,,0.172948,,,,,,,,P=1 ,,,,,,,,p=1
